geneNames	GSM44908	GSM44909	GSM44910	GSM44911	GSM44912	GSM44913	GSM44938	GSM44939	GSM44940	GSM44941	GSM44942	GSM44943	GSM44944
ACAP2	430.9456139	311.9062013	406.2872236	375.3818021	375.5376746	281.8564088	287.3551309	398.4844248	308.7565961	378.5725895	270.6103592	273.229356	237.5312922
ACAT1	38.3732111	88.94831062	89.99970566	52.4661641	62.81706299	61.61569809	57.93429754	84.40621241	66.71704567	75.93596956	42.17154242	68.68964013	66.26631246
ACAT2	206.1640561	263.815997	219.1319289	235.9218737	151.9380995	208.0888388	447.4290229	356.0068003	212.9711895	310.3495973	157.1919648	378.032312	211.3028717
ACBD3	1758.695605	1451.394635	1621.910249	1746.99072	1704.414964	1736.958395	976.049334	1381.082637	1096.580794	1364.707501	1445.218395	1401.922359	1536.328959
ACD	351.0375979	555.0723161	756.1691268	191.8605742	388.7299061	609.5871213	602.8614726	508.9098057	606.5788604	399.0299169	542.6769179	501.7333036	496.8048773
ACE	33.28322819	29.24023725	50.10677566	34.26091474	29.52074616	20.20044703	75.49379472	19.75762681	83.89376595	19.97600837	11.23830368	29.10906201	27.37221065
ACHE	99.1195834	82.0787886033333	77.7286012766667	126.629780463333	106.65672825	81.6897157733333	40.6056443833333	43.8604371966667	51.7418697833333	60.3220427233333	39.7511383866667	52.96779265	46.70263983
ACIN1	656.7746783	406.30704	358.1485599	773.6674965	420.7163714	596.25672	598.1369332	427.6474257	498.5294932	494.7663535	578.6574876	524.65706	507.3515004
ACKR1	244.5554127	143.785495	203.3659211	203.5431892	217.7715297	115.7723758	81.63569387	65.13802009	87.58259105	74.97180312	67.03899517	83.0129409	71.44723849
ACKR2	416.0385556	131.2339255	251.2141872	378.9651423	251.8211328	164.0255172	93.49639962	114.3224051	160.1718851	55.3233491	131.513014	87.85228646	126.2617004
ACKR3	99.93905341	123.0879206	194.3832494	7.69478526	6.925892135	3.741644557	128.9577395	130.3748715	120.5248705	146.7619664	8.212659853	238.3036356	54.1866575
ACLY	2499.304412	2206.688736	2194.258347	2279.802524	2504.613713	2218.598592	1480.32636	1548.110034	1410.581121	1643.874732	2672.093722	1757.240012	2016.008682
ACO1	1588.029192	2162.27609	1742.264532	1411.815626	1431.546589	1789.400755	1619.360061	1956.063194	1906.198521	1615.510148	1604.126276	1674.100786	1761.119785
ACO2	508.8222077	313.2748801	294.7514861	366.2476611	392.0296846	426.9525004	412.2813208	378.2524595	564.3320623	361.7784019	335.6283472	304.7241786	301.0326568
ACOT11	100.5524582	63.90581796	87.72503773	69.28171632	82.30675353	62.25685172	54.11130352	22.45248845	82.16086306	29.25834125	41.27287378	39.21675546	41.46300971
ACOT13	699.2539872	611.11370305	620.3994563	581.36514305	635.1409457	467.15841855	737.2113433	748.2541784	682.9717479	867.2121234	352.28203435	678.0164208	703.685938
ACOT7	1192.60421	1128.378336	1247.519268	1261.968562	1673.926404	1764.396415	833.1087566	1102.298488	1152.196293	977.9994796	1783.818486	956.8670158	1377.915865
ACOT8	352.5315776	352.9598779	236.9534835	338.8363573	250.9104272	259.6851759	320.8414049	318.0093667	375.923017	257.9135584	266.4459368	322.9646562	389.3687696
ACOX1	167.36913555	159.87202405	207.409212	158.787054575	181.982378	177.42990425	115.330672025	174.03847105	146.53543275	131.01141601	117.1212556	130.54665715	119.91652585
ACOX2	75.00489166	84.05770022	108.9888253	34.58907356	28.13291639	94.87017187	147.2550678	261.319902	260.9645485	271.3682096	85.81148147	233.2234481	136.3431559
ACOX3	173.6830251	97.78764909	147.6641589	134.5655621	192.2952996	102.670881	84.09981318	174.5761518	68.44756276	131.2867903	130.4921883	170.9904032	155.5768699
ACP1	1704.398503	1789.207447	1850.841786	1615.771066	1758.616105	1665.916704	2066.369296	2086.907377	2219.602487	1972.839185	1659.125201	1977.878325	2139.835719
ACP2	543.1507295	698.9209123	630.941175	913.7976377	778.0747502	700.904477	768.0959865	1009.324815	824.5047452	768.023985	1486.06984	822.1202271	1065.461164
ACP5	57.81549611	23.24086342	38.78020936	136.2229685	156.5143411	73.65123873	10.26940918	9.998328272	45.68500178	13.23922582	68.63960489	72.22752473	10.77641423
ACPP	32.014964905	42.677863543	32.77571181	59.584286815	68.48313561	35.483656375	2.92513925	27.722161665	27.190036305	14.5916152495	18.70951447	12.742663155	14.952585347
ACR	189.8328111	161.5813713	202.7105497	304.6751272	301.8039661	208.4614461	95.83820574	126.8585737	97.44854669	130.5137084	198.3650754	158.4691696	140.1415005
ACRV1	5.513515318	25.23534764	8.80831045	6.501702386	57.03694797	5.625551922	4.841186662	3.436805476	8.191267263	3.926047501	7.138599559	7.354880781	2.344934264
ACSBG1	21.00475073	10.48971737	34.6569442	46.37434898	17.74867668	41.56639808	13.49013967	3.834115656	5.219857134	7.092760115	46.99789982	5.8101566	35.57037043
ACSL1	283.0443844	227.248014	305.2351834	148.9096422	122.7026964	195.5723879	212.3430822	265.9454987	189.4793562	274.9968962	178.3587684	282.6640701	215.8717053
ACSL3	340.578794	445.0477329	464.72632165	359.8201176	208.61235725	325.8167039	387.67041855	332.03653155	331.7689998	397.75234075	248.0246708	385.0223478	362.0382652
ACSL4	149.4230621	93.91570675	178.1709859	145.0793473	132.6564063	112.8476794	47.0209491	97.2496031	50.58136179	98.3748602	127.3355858	75.0089605	61.37216195
ACSL6	14.93899748	21.77645155	10.33324859	116.247824	55.27058873	44.57099135	48.99757006	2.40605019	41.784116	51.27739846	13.82203037	43.13307631	14.10363825
ACSM1	2.648234065	3.064164776	4.832188377	4.666018129	6.958987012	7.399943371	7.725429712	2.042415592	9.237909623	14.02759719	9.29663111	3.445372344	8.609872233
ACSM2A	84.10867909	64.71302092	14.74838126	48.58577098	81.60149228	50.66507253	37.1259557	13.49000615	39.77574706	24.32345428	5.340310845	47.59824175	31.10046241
ACSM3	36.9338290733333	22.012364423	55.3999300236667	28.41254998	38.76966287	36.1767920336667	10.8886797503333	16.7480614883333	8.76425480933333	13.891308737	18.0366422093333	22.1561012196667	14.5435848536667
ACTA1	113.4549591	116.2962947	98.00048697	200.8158462	118.4749507	165.4612972	61.43962559	43.69809344	56.2996325	35.71936905	69.77161689	65.18875457	66.96106091
ACTA2	1340.346492	3581.151392	2201.88145	2628.11138	2548.148957	1712.464375	12723.09672	16996.03234	16325.96197	20545.79239	31269.22979	19412.19669	14574.54146
ACTB	2697.58923608286	3724.36423995	2430.02336113	3523.78462549571	3843.17939838143	2504.48138962857	21320.47140891	18210.2371970386	20384.9985339871	18749.8044876757	23980.5769889871	20356.3553741886	21330.4699518629
